s2max,s4max,s5max,s5mean,s5min,s6max,target
6.38,5.32,40.33,14.4071875,0,4.92,1
12.28,9.5,24.5,15.872375,2.5,9.98,0
12.89,9.63,24.67,16.48,3,8.19,0
10.84,10.57,23.33,16.48754167,6.75,9.5,0
1.7,4.44,38.5,35.58845833,29,1.79,1
11.68,9.01,23,16.58114583,8,8.81,0
8.64,8.06,22.25,15.98916667,2,8.34,0
10.76,9,23,16.77352083,0,8.75,0
10.47,10.61,24.67,17.29627083,8.67,8.99,0
1.7,4.44,38.5,35.58845833,29,1.79,1
10.43,9.63,24.5,17.062625,7.67,9.18,0
12.6,9.46,24.33,16.00127083,4,9.39,0
11.2,8.87,26.5,17.0783125,0,8.5,0
3,5.15,38.67,33.49391667,20,2.18,1
9.71,9.78,27,18.49714583,7.67,11.15,0
8.58,8.05,25.5,19.60725,7,9.34,0
4.85,5.72,22.25,4.303979167,0,4.97,0
1,2.49,14.5,5.779479167,0,3.49,0
3,5.15,38.67,33.49391667,20,2.18,1
1,4.03,16.25,11.765625,0,3.19,0
1,3.27,18,10.89745833,0,4.06,0
0.5,3.54,18.67,16.2123125,7,3.5,0
1.58,10.03,33.5,23.03479167,8,5.26,1
8.49,5.72,21,14.299125,0,5.72,0
1.79,5.02,21,8.337020833,0,4.5,0
1.58,10.03,33.5,23.03479167,8,5.26,1
0.43,2.86,12,7.624895833,0,2.5,0
1,2.49,14.5,5.779479167,0,3.49,0
1.58,10.03,33.5,23.03479167,8,5.26,1
1,3.27,18,10.89745833,0,4.06,0
8.49,5.72,21,14.299125,0,5.72,0
1.79,5.02,21,8.3374375,0,4.5,0
2.83,6.42,37.5,29.85708333,23.67,1.79,1
1.12,5.17,30.75,19.26508333,4.33,4.3,0
12.19,5.12,27,17.14972917,5.5,6.26,0
2.83,6.42,37.5,29.85708333,23.67,1.79,1
2.49,5.12,23.5,18.08722917,2,5.12,0
6.06,6.02,23.75,16.52202083,0,5.17,0
2.83,6.42,37.5,29.85708333,23.67,1.79,1
1.12,5.45,23,16.02565762,1,6.36,0
1.5,4.64,22,16.04316667,5.67,5.45,0
3.28,5.12,27.33,15.16727083,0,6.36,0
1.5,5.17,30.75,22.10375,11.33,2.96,1
3.28,6.98,25,14.92054167,1.5,7,0
1.09,7.31,23,12.97391667,1,6.36,0
1,5.68,23.25,12.5371875,0,7.85,0
1,5.93,26.67,15.2604375,2.5,4.64,0
1.5,5.17,30.75,22.10375,11.33,2.96,1
4.72,6.12,24,16.4089375,2,5.1,0
2.95,7.5,20.75,12.06041667,1,4.64,0
1.92,6.02,20.25,13.19827083,1,6.18,0
9.9,7.4,33.75,20.34570833,5,13.61,1
2.18,5.54,19.67,13.21008333,1,4.32,0
4.5,5.12,21,13.39402083,2.5,6,0
4.6,6.52,21.25,13.281875,2.67,6.58,0
1.66,4.11,19.75,12.42854167,1,4.5,0
9.9,7.4,33.75,20.34570833,5,13.61,1
2.12,5.59,22,10.06775,2,6.65,0
2.12,5.61,21,14.63975,1,6.85,0
2.6,4.72,20.25,14.94602083,0,4,0
0,0,0,0,0,0,1
2.17,5.56,19.67,14.24745833,0,3.77,0
2.83,3.74,24,18.2014375,2,3.83,0
4.5,5.54,21,12.61154167,1,5.91,0
16.2,8.76,23.5,16.10120833,6.25,8.5,0
0,0,0,0,0,0,1
12.68,9.2,25.5,16.2995625,6,9.39,0
12.21,9.09,25,15.99722917,6.33,10.21,0
12.48,9.01,24,15.8644375,6.67,8.01,0
6.4,11.42,36,18.38908333,1.67,6.73,1
15.37,9.18,23.25,16.0555625,6.5,8.86,0
17.24,9.2,24,16.148,5.75,9.42,0
13.55,9.5,24.25,15.71608333,7,8.32,0
14.67,9,25,15.89214583,6.33,8.32,0
6.4,11.42,36,18.38908333,1.67,6.73,1
13.47,9,23.25,15.55045833,6.25,9.67,0
12.47,8.34,22.75,15.75954167,7,10,0
14.82,9.9,23.5,15.87389583,5.5,9.51,0
13.86,9.1,23.25,15.70416667,4.67,9,0
